depth,trees,class_weight,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
20.0,600,,False,0.3,0.984920634920635,0.004166666666666667,0.2333333333333333,0.013723505131579834,0.007216878364870322,0.2603416558635552
30.0,100,,False,0.3,0.984920634920635,0.004166666666666667,0.2333333333333333,0.013723505131579834,0.007216878364870322,0.2603416558635552
30.0,600,,False,0.3,0.984920634920635,0.004166666666666667,0.2333333333333333,0.013723505131579834,0.007216878364870322,0.2603416558635552
,600,,False,0.5,0.9841269841269842,0.0,0.33333333333333326,0.015873015873015883,0.0,0.33333333333333337
10.0,600,,False,0.5,0.9841269841269842,0.0,0.33333333333333326,0.015873015873015883,0.0,0.33333333333333337
20.0,600,,False,0.5,0.9841269841269842,0.0,0.33333333333333326,0.015873015873015883,0.0,0.33333333333333337
30.0,600,,False,0.5,0.9841269841269842,0.0,0.33333333333333326,0.015873015873015883,0.0,0.33333333333333337
,300,,False,0.3,0.9841269841269842,0.004999999999999999,0.2333333333333333,0.013280317881493269,0.007637626158259734,0.2603416558635552
10.0,300,,False,0.3,0.9841269841269842,0.004999999999999999,0.2333333333333333,0.013280317881493269,0.007637626158259734,0.2603416558635552
20.0,300,,False,0.3,0.9841269841269842,0.004999999999999999,0.2333333333333333,0.013280317881493269,0.007637626158259734,0.2603416558635552
30.0,300,,False,0.3,0.9841269841269842,0.004999999999999999,0.2333333333333333,0.013280317881493269,0.007637626158259734,0.2603416558635552
,100,,True,0.5,0.9841269841269842,0.005833333333333333,0.21666666666666665,0.019440394783993484,0.01516117116555021,0.2640496586292476
10.0,100,,True,0.5,0.9841269841269842,0.005833333333333333,0.21666666666666665,0.019440394783993484,0.01516117116555021,0.2640496586292476
20.0,100,,True,0.5,0.9841269841269842,0.005833333333333333,0.21666666666666665,0.019440394783993484,0.01516117116555021,0.2640496586292476
30.0,100,,True,0.5,0.9841269841269842,0.005833333333333333,0.21666666666666665,0.019440394783993484,0.01516117116555021,0.2640496586292476
,600,,False,0.2,0.9841269841269842,0.0075,0.1833333333333333,0.012295185226055291,0.0082915619758885,0.22298480267099421
10.0,600,,False,0.2,0.9841269841269842,0.0075,0.1833333333333333,0.012295185226055291,0.0082915619758885,0.22298480267099421
20.0,600,,False,0.2,0.9841269841269842,0.0075,0.1833333333333333,0.012295185226055291,0.0082915619758885,0.22298480267099421
30.0,600,,False,0.2,0.9841269841269842,0.0075,0.1833333333333333,0.012295185226055291,0.0082915619758885,0.22298480267099421
,300,,False,0.2,0.9833333333333334,0.0075,0.19999999999999998,0.011744959195991063,0.0082915619758885,0.22110831935702666
10.0,300,,False,0.2,0.9833333333333334,0.0075,0.19999999999999998,0.011744959195991063,0.0082915619758885,0.22110831935702666
20.0,300,,False,0.2,0.9833333333333334,0.0075,0.19999999999999998,0.011744959195991063,0.0082915619758885,0.22110831935702666
30.0,300,,False,0.2,0.9833333333333334,0.0075,0.19999999999999998,0.011744959195991063,0.0082915619758885,0.22110831935702666
,100,,False,0.2,0.9833333333333334,0.009999999999999998,0.15,0.011744959195991063,0.011055415967851333,0.22298480267099416
10.0,100,,False,0.2,0.9833333333333334,0.009999999999999998,0.15,0.011744959195991063,0.011055415967851333,0.22298480267099416
20.0,100,,False,0.2,0.9833333333333334,0.009999999999999998,0.15,0.011744959195991063,0.011055415967851333,0.22298480267099416
30.0,100,,False,0.2,0.9833333333333334,0.009999999999999998,0.15,0.011744959195991063,0.011055415967851333,0.22298480267099416
,600,,True,0.5,0.9825396825396826,0.006666666666666666,0.2333333333333333,0.01937548510433922,0.016158932858054427,0.2603416558635552
