user_id,text_length,threshold,accuracy,far,frr,eer
A2SsgxEqJLY9Avf3vCgly0OIQux1,75,0.20500000000000002,1.0,0.0,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,75,0.135,1.0,0.0,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,75,0.20500000000000002,0.9875,0.012903225806451613,0.0,0.0064516129032258064
DJldbpv8XEYPwLseK8tAlA0EFfV2,75,0.20500000000000002,1.0,0.0,0.0,0.0
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,75,0.22,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,75,0.185,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
Omo5XrILUTX0J0Jih47KSik6Yi43,75,0.065,0.98125,0.01935483870967742,0.0,0.00967741935483871
PoPWokLWSNV1fAVoEx4sJEERdqL2,75,0.095,0.98125,0.01935483870967742,0.0,0.00967741935483871
PzRGdxGusYScYl0zOpFXECA49Tq1,75,0.065,0.9875,0.012903225806451613,0.0,0.0064516129032258064
QcUKYLclszMKbeOKMPTEIZyiKKU2,75,0.1,0.9875,0.012903225806451613,0.0,0.0064516129032258064
RKcUBPWd7Lgr4wrIof2rJxDyitr1,75,0.12,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,75,0.145,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
WLA5tSeimOdSy4qCfthdd7C5WeB2,75,0.105,0.96875,0.03225806451612903,0.0,0.016129032258064516
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,75,0.085,1.0,0.0,0.0,0.0
ZPw87WT2yagXd9QO1D3a7uqutlJ3,75,0.135,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,75,0.3,1.0,0.0,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,75,0.06,0.96875,0.03225806451612903,0.0,0.016129032258064516
my57RUXuMdcCABGumWAajjhxjgi2,75,0.135,0.98125,0.01935483870967742,0.0,0.00967741935483871
pBcgsSbey6YdBbQGH0nEAMUjA9H2,75,0.115,1.0,0.0,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,75,0.095,0.9875,0.012903225806451613,0.0,0.0064516129032258064
ruaVJyjTBAXieStKhxpnd1GTACE2,75,0.195,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,75,0.095,1.0,0.0,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,75,0.03,0.95,0.05161290322580645,0.0,0.025806451612903226
zADTuV7nEORpOPqPqjLYGgZyVUD3,75,0.225,0.98125,0.0064516129032258064,0.4,0.20322580645161292
zisvLwXR2sXkiDyF9hQBgzCT5K03,75,0.2,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,75,0.11,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
05TW8Ljp5AOArnLclD8e8LIHgwg2,full,0.08,0.95625,0.04516129032258064,0.0,0.02258064516129032
2cLb1nw1ViSuzHnuJ8Xa0roN64q2,full,0.12,1.0,0.0,0.0,0.0
30m2mK6UrdfP8ENgCSldqeHYwjq2,full,0.105,0.975,0.025806451612903226,0.0,0.012903225806451613
8g1C9fonDzXAwNoVbGG4vJ7XO1F3,full,0.19,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
8gGAdMn0cGO8J5wVY9lyHNfcrzF3,full,0.23500000000000001,1.0,0.0,0.0,0.0
9gLVJ3xY2FYHdz1RafqBZ9aUCFh1,full,0.165,1.0,0.0,0.0,0.0
A2SsgxEqJLY9Avf3vCgly0OIQux1,full,0.16,1.0,0.0,0.0,0.0
BnAXORhlmEgFSnmr5BPzEaj813f2,full,0.325,1.0,0.0,0.0,0.0
BqbYZxLSPiNGAJGElBH6dq0Gf422,full,0.23500000000000001,0.9875,0.012903225806451613,0.0,0.0064516129032258064
DJldbpv8XEYPwLseK8tAlA0EFfV2,full,0.135,0.9875,0.012903225806451613,0.0,0.0064516129032258064
LAEk3gnIrrPeEc5m2xw2XMg7Ao63,full,0.185,1.0,0.0,0.0,0.0
LaWWukYn6xeN1jsWRIBI8QB2PvV2,full,0.255,1.0,0.0,0.0,0.0
Omo5XrILUTX0J0Jih47KSik6Yi43,full,0.09,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
PoPWokLWSNV1fAVoEx4sJEERdqL2,full,0.075,0.96875,0.03225806451612903,0.0,0.016129032258064516
PzRGdxGusYScYl0zOpFXECA49Tq1,full,0.04,0.975,0.025806451612903226,0.0,0.012903225806451613
QcUKYLclszMKbeOKMPTEIZyiKKU2,full,0.155,1.0,0.0,0.0,0.0
RKcUBPWd7Lgr4wrIof2rJxDyitr1,full,0.155,1.0,0.0,0.0,0.0
So7yhmPlhAcD7aHz0kZYyZYj0Yg1,full,0.165,0.975,0.01935483870967742,0.2,0.10967741935483871
WLA5tSeimOdSy4qCfthdd7C5WeB2,full,0.145,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
WiOvfjiIXHdwNpm5Z4XQkAvGRI23,full,0.105,1.0,0.0,0.0,0.0
ZPw87WT2yagXd9QO1D3a7uqutlJ3,full,0.12,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
ej3PfaQvUVVIs8EqkGNlOzZx9Is2,full,0.17,1.0,0.0,0.0,0.0
i6SCvQJiqYUDYS1leBqlxRY29jr2,full,0.14,1.0,0.0,0.0,0.0
my57RUXuMdcCABGumWAajjhxjgi2,full,0.20500000000000002,1.0,0.0,0.0,0.0
pBcgsSbey6YdBbQGH0nEAMUjA9H2,full,0.20500000000000002,1.0,0.0,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,full,0.155,0.99375,0.0064516129032258064,0.0,0.0032258064516129032
ruaVJyjTBAXieStKhxpnd1GTACE2,full,0.22,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,full,0.09,1.0,0.0,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,full,0.035,0.95625,0.04516129032258064,0.0,0.02258064516129032
zADTuV7nEORpOPqPqjLYGgZyVUD3,full,0.23500000000000001,0.99375,0.0,0.2,0.1
zisvLwXR2sXkiDyF9hQBgzCT5K03,full,0.15,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,full,0.11,1.0,0.0,0.0,0.0
