user_id,feature_group,n_features,threshold,accuracy,far,frr,eer
wL7w4dmBmxSYXUEO9tYBUp6XaA22,keystroke_only,80,0.195,0.9923076923076923,0.008,0.0,0.004
wL7w4dmBmxSYXUEO9tYBUp6XaA22,sensor_only,46,0.11,0.9615384615384616,0.04,0.0,0.0
wL7w4dmBmxSYXUEO9tYBUp6XaA22,combined,154,0.135,0.9692307692307692,0.032,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,keystroke_only,80,0.20500000000000002,0.9923076923076923,0.008,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,sensor_only,46,0.145,0.9615384615384616,0.04,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,combined,154,0.3,1.0,0.0,0.0,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,keystroke_only,80,0.075,0.9307692307692308,0.072,0.0,0.008
zisvLwXR2sXkiDyF9hQBgzCT5K03,sensor_only,46,0.27,1.0,0.0,0.0,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,combined,154,0.145,1.0,0.0,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,keystroke_only,80,0.11,0.9615384615384616,0.04,0.0,0.016
zwWo0D9MehY88RXRA0BYoGdJKCz2,sensor_only,46,0.05,0.9615384615384616,0.04,0.0,0.0
zwWo0D9MehY88RXRA0BYoGdJKCz2,combined,154,0.075,0.9769230769230769,0.024,0.0,0.0
