user_id,feature_group,n_features,threshold,accuracy,far,frr,eer
my57RUXuMdcCABGumWAajjhxjgi2,sensor_only,46,0.1,0.9757575757575757,0.025,0.0,0.0125
my57RUXuMdcCABGumWAajjhxjgi2,combined,154,0.155,0.9939393939393939,0.00625,0.0,0.003125
pBcgsSbey6YdBbQGH0nEAMUjA9H2,keystroke_only,80,0.115,0.9757575757575757,0.025,0.0,0.0125
pBcgsSbey6YdBbQGH0nEAMUjA9H2,sensor_only,46,0.155,0.9939393939393939,0.00625,0.0,0.003125
pBcgsSbey6YdBbQGH0nEAMUjA9H2,combined,154,0.25,1.0,0.0,0.0,0.0
qHMPVSZeEOVJeANy4PmaCi0s1LX2,keystroke_only,80,0.055,0.9212121212121213,0.075,0.2,0.1375
qHMPVSZeEOVJeANy4PmaCi0s1LX2,sensor_only,46,0.07,0.9212121212121213,0.08125,0.0,0.040625
qHMPVSZeEOVJeANy4PmaCi0s1LX2,combined,154,0.105,0.9636363636363636,0.0375,0.0,0.01875
ruaVJyjTBAXieStKhxpnd1GTACE2,keystroke_only,80,0.23,1.0,0.0,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,sensor_only,46,0.31,1.0,0.0,0.0,0.0
ruaVJyjTBAXieStKhxpnd1GTACE2,combined,154,0.325,1.0,0.0,0.0,0.0
t10BGl5P7lfLJnosyzeNchO2Cgw1,keystroke_only,80,0.07,0.9575757575757575,0.04375,0.0,0.021875
t10BGl5P7lfLJnosyzeNchO2Cgw1,sensor_only,46,0.11,0.9878787878787879,0.00625,0.2,0.10312500000000001
t10BGl5P7lfLJnosyzeNchO2Cgw1,combined,154,0.145,1.0,0.0,0.0,0.0
tQ67DG0meybtvwgtlI6rCkNYmU93,keystroke_only,80,0.05,0.9030303030303031,0.1,0.0,0.05
tQ67DG0meybtvwgtlI6rCkNYmU93,sensor_only,46,0.1,0.9696969696969697,0.03125,0.0,0.015625
tQ67DG0meybtvwgtlI6rCkNYmU93,combined,154,0.115,0.9878787878787879,0.0125,0.0,0.00625
wL7w4dmBmxSYXUEO9tYBUp6XaA22,keystroke_only,80,0.155,0.9878787878787879,0.0125,0.0,0.00625
wL7w4dmBmxSYXUEO9tYBUp6XaA22,sensor_only,46,0.125,0.9878787878787879,0.0125,0.0,0.00625
wL7w4dmBmxSYXUEO9tYBUp6XaA22,combined,154,0.19,1.0,0.0,0.0,0.0
zADTuV7nEORpOPqPqjLYGgZyVUD3,keystroke_only,80,0.225,0.9878787878787879,0.0125,0.0,0.00625
zADTuV7nEORpOPqPqjLYGgZyVUD3,sensor_only,46,0.09,0.9818181818181818,0.01875,0.0,0.009375
zADTuV7nEORpOPqPqjLYGgZyVUD3,combined,154,0.23500000000000001,1.0,0.0,0.0,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,keystroke_only,80,0.065,0.8848484848484849,0.11875,0.0,0.059375
zisvLwXR2sXkiDyF9hQBgzCT5K03,sensor_only,46,0.265,1.0,0.0,0.0,0.0
zisvLwXR2sXkiDyF9hQBgzCT5K03,combined,154,0.14,0.9939393939393939,0.00625,0.0,0.003125
zwWo0D9MehY88RXRA0BYoGdJKCz2,keystroke_only,80,0.145,0.9696969696969697,0.025,0.2,0.1125
zwWo0D9MehY88RXRA0BYoGdJKCz2,sensor_only,46,0.06,0.9757575757575757,0.025,0.0,0.0125
zwWo0D9MehY88RXRA0BYoGdJKCz2,combined,154,0.13,0.9939393939393939,0.00625,0.0,0.003125
