kernel,C,gamma,class_weight,undersampling,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
rbf,10.0,0.001,,True,0.987974683544304,0.002666666666666667,0.1875,0.010944061054297833,0.005333333333333335,0.19162137145944866
rbf,1.0,0.01,,False,0.987341772151899,0.0,0.25,0.013276061369242432,0.0,0.2622022120425379
linear,0.1,,,True,0.9873417721518989,0.003333333333333333,0.1875,0.011321863177214123,0.005773502691896259,0.19162137145944866
linear,0.1,,balanced,True,0.9873417721518989,0.003333333333333333,0.1875,0.011321863177214123,0.005773502691896259,0.19162137145944866
linear,1.0,,,True,0.9873417721518989,0.003333333333333333,0.1875,0.011321863177214123,0.005773502691896259,0.19162137145944866
linear,1.0,,balanced,True,0.9873417721518989,0.003333333333333333,0.1875,0.011321863177214123,0.005773502691896259,0.19162137145944866
linear,10.0,,,True,0.9873417721518989,0.003333333333333333,0.1875,0.011321863177214123,0.005773502691896259,0.19162137145944866
linear,10.0,,balanced,True,0.9873417721518989,0.003333333333333333,0.1875,0.011321863177214123,0.005773502691896259,0.19162137145944866
linear,100.0,,,True,0.9873417721518989,0.003333333333333333,0.1875,0.011321863177214123,0.005773502691896259,0.19162137145944866
linear,100.0,,balanced,True,0.9873417721518989,0.003333333333333333,0.1875,0.011321863177214123,0.005773502691896259,0.19162137145944866
rbf,1.0,0.001,balanced,True,0.9860759493670889,0.004,0.2,0.013808496347640154,0.007423685817106695,0.2318404623873926
rbf,100.0,0.001,,True,0.9860759493670888,0.004666666666666667,0.1875,0.011941748268426077,0.009683892697555967,0.19162137145944866
rbf,100.0,0.001,balanced,True,0.9860759493670888,0.004666666666666667,0.1875,0.011941748268426077,0.009683892697555967,0.19162137145944866
rbf,0.1,scale,balanced,False,0.9854430379746837,0.0,0.2875,0.012831098058679312,0.0,0.2534141866589162
rbf,0.1,auto,balanced,False,0.9854430379746837,0.0,0.2875,0.012831098058679312,0.0,0.2534141866589162
rbf,0.1,0.01,balanced,False,0.9854430379746837,0.0,0.2875,0.012831098058679312,0.0,0.2534141866589162
rbf,0.1,0.01,,True,0.9854430379746837,0.005333333333333334,0.1875,0.015123801449808256,0.008844332774281066,0.19162137145944866
rbf,10.0,0.001,balanced,True,0.9854430379746837,0.005333333333333334,0.1875,0.011514813543455859,0.0077746025264604016,0.19162137145944866
rbf,0.1,scale,,True,0.9822784810126585,0.008666666666666666,0.1875,0.0171704556534817,0.011372481406154655,0.19162137145944866
rbf,0.1,auto,,True,0.9822784810126585,0.008666666666666666,0.1875,0.0171704556534817,0.011372481406154655,0.19162137145944866
rbf,0.1,0.001,balanced,False,0.9778481012658231,0.0,0.4375,0.016923723996355642,0.0,0.33424354892802344
rbf,0.1,0.1,,False,0.9765822784810128,0.0,0.4625,0.012190734357125472,0.0,0.2407670035532278
rbf,1.0,0.1,,False,0.9765822784810128,0.0,0.4625,0.012190734357125472,0.0,0.2407670035532278
rbf,1.0,0.001,,True,0.9759493670886078,0.015333333333333334,0.1875,0.023983918128476476,0.019899748742132402,0.19162137145944866
rbf,0.1,0.001,,True,0.9753164556962028,0.016,0.1875,0.023503094465350816,0.019595917942265426,0.19162137145944866
rbf,1.0,0.1,balanced,False,0.9753164556962026,0.0,0.4875,0.011653134581975942,0.0,0.23014940799402464
rbf,10.0,0.1,,False,0.9753164556962026,0.0,0.4875,0.011653134581975942,0.0,0.23014940799402464
rbf,10.0,0.1,balanced,False,0.9753164556962026,0.0,0.4875,0.011653134581975942,0.0,0.23014940799402464
rbf,100.0,0.1,,False,0.9753164556962026,0.0,0.4875,0.011653134581975942,0.0,0.23014940799402464
rbf,100.0,0.1,balanced,False,0.9753164556962026,0.0,0.4875,0.011653134581975942,0.0,0.23014940799402464
rbf,1.0,0.1,balanced,True,0.9645569620253166,0.0,0.7,0.01028359291726072,0.0,0.20310096011589904
rbf,10.0,0.1,,True,0.9645569620253166,0.0,0.7,0.01028359291726072,0.0,0.20310096011589904
rbf,10.0,0.1,balanced,True,0.9645569620253166,0.0,0.7,0.01028359291726072,0.0,0.20310096011589904
rbf,100.0,0.1,,True,0.9645569620253166,0.0,0.7,0.01028359291726072,0.0,0.20310096011589904
rbf,100.0,0.1,balanced,True,0.9645569620253166,0.0,0.7,0.01028359291726072,0.0,0.20310096011589904
rbf,0.1,0.1,,True,0.9639240506329116,0.0,0.7125,0.010796659562805061,0.0,0.21323402636539976
rbf,1.0,0.1,,True,0.9639240506329116,0.0,0.7125,0.010796659562805061,0.0,0.21323402636539976
rbf,0.1,scale,balanced,True,0.9531645569620253,0.0,0.925,0.008105220553712482,0.0,0.16007810593582122
rbf,0.1,auto,balanced,True,0.9531645569620253,0.0,0.925,0.008105220553712482,0.0,0.16007810593582122
rbf,0.1,0.01,balanced,True,0.9531645569620253,0.0,0.925,0.008105220553712482,0.0,0.16007810593582122
rbf,0.1,0.1,balanced,False,0.9493670886075949,0.0,1.0,0.0,0.0,0.0
rbf,0.1,0.1,balanced,True,0.9493670886075949,0.0,1.0,0.0,0.0,0.0
rbf,0.1,0.001,balanced,True,0.9493670886075949,0.0,1.0,0.0,0.0,0.0
