kernel,C,gamma,class_weight,undersampling,threshold,accuracy_mean,FAR_mean,FRR_mean,accuracy_std,FAR_std,FRR_std
rbf,10,0.01,balanced,False,0.1,0.9865079365079366,0.004999999999999999,0.18333333333333332,0.013538668340660313,0.009279607271383371,0.22298480267099421
rbf,100,0.01,,False,0.1,0.9865079365079366,0.004999999999999999,0.18333333333333332,0.013538668340660313,0.009279607271383371,0.22298480267099421
rbf,100,0.01,balanced,False,0.1,0.9865079365079366,0.004999999999999999,0.18333333333333332,0.013538668340660313,0.009279607271383371,0.22298480267099421
rbf,1,scale,balanced,False,0.1,0.9865079365079366,0.005833333333333334,0.16666666666666666,0.013538668340660313,0.010897247358851683,0.19720265943665388
rbf,1,0.01,balanced,False,0.1,0.9857142857142858,0.005833333333333334,0.18333333333333332,0.014108245106850149,0.010897247358851683,0.22298480267099421
linear,1,,,True,0.5,0.9857142857142858,0.0075,0.15,0.014108245106850149,0.011149240133549709,0.22298480267099416
linear,1,,balanced,True,0.5,0.9857142857142858,0.0075,0.15,0.014108245106850149,0.011149240133549709,0.22298480267099416
linear,10,,,True,0.5,0.9857142857142858,0.0075,0.15,0.014108245106850149,0.011149240133549709,0.22298480267099416
linear,10,,balanced,True,0.5,0.9857142857142858,0.0075,0.15,0.014108245106850149,0.011149240133549709,0.22298480267099416
linear,100,,,True,0.5,0.9857142857142858,0.0075,0.15,0.014108245106850149,0.011149240133549709,0.22298480267099416
linear,100,,balanced,True,0.5,0.9857142857142858,0.0075,0.15,0.014108245106850149,0.011149240133549709,0.22298480267099416
rbf,100,0.001,,False,0.1,0.9857142857142858,0.013333333333333332,0.03333333333333333,0.018028280462858016,0.01715938356831167,0.1
rbf,100,0.001,balanced,False,0.1,0.9857142857142858,0.013333333333333332,0.03333333333333333,0.018028280462858016,0.01715938356831167,0.1
rbf,10,0.001,,True,0.5,0.984920634920635,0.006666666666666666,0.18333333333333332,0.010618323936714011,0.0097182531580755,0.22298480267099421
rbf,100,0.001,,True,0.5,0.984920634920635,0.008333333333333333,0.15,0.015450732011056983,0.013437096247164252,0.22298480267099416
rbf,100,0.001,balanced,True,0.5,0.984920634920635,0.008333333333333333,0.15,0.015450732011056983,0.013437096247164252,0.22298480267099416
rbf,10,scale,,False,0.1,0.9841269841269842,0.008333333333333335,0.16666666666666666,0.014197256999998676,0.011180339887498949,0.19720265943665388
rbf,10,scale,balanced,False,0.1,0.9841269841269842,0.008333333333333335,0.16666666666666666,0.014197256999998676,0.011180339887498949,0.19720265943665388
rbf,100,scale,,False,0.1,0.9841269841269842,0.008333333333333335,0.16666666666666666,0.014197256999998676,0.011180339887498949,0.19720265943665388
rbf,100,scale,balanced,False,0.1,0.9841269841269842,0.008333333333333335,0.16666666666666666,0.014197256999998676,0.011180339887498949,0.19720265943665388
rbf,10,0.001,,False,0.1,0.9841269841269842,0.015000000000000003,0.03333333333333333,0.013280317881493269,0.014813657362192647,0.1
rbf,1,0.1,,False,0.1,0.9833333333333334,0.0,0.35,0.012772600745580223,0.0,0.2682246156571847
rbf,10,0.001,balanced,True,0.5,0.9833333333333334,0.008333333333333333,0.18333333333333332,0.014612660825017445,0.013437096247164252,0.22298480267099421
rbf,1,scale,,False,0.1,0.9833333333333334,0.008333333333333335,0.18333333333333332,0.014612660825017445,0.012360330811826106,0.22298480267099421
rbf,1,0.1,balanced,False,0.1,0.9825396825396826,0.0,0.3666666666666666,0.0131851172427271,0.0,0.27688746209726917
rbf,10,0.1,,False,0.1,0.9825396825396826,0.0,0.3666666666666666,0.0131851172427271,0.0,0.27688746209726917
rbf,10,0.1,balanced,False,0.1,0.9825396825396826,0.0,0.3666666666666666,0.0131851172427271,0.0,0.27688746209726917
rbf,100,0.1,,False,0.1,0.9825396825396826,0.0,0.3666666666666666,0.0131851172427271,0.0,0.27688746209726917
rbf,100,0.1,balanced,False,0.1,0.9825396825396826,0.0,0.3666666666666666,0.0131851172427271,0.0,0.27688746209726917
rbf,10,0.001,balanced,False,0.1,0.9825396825396826,0.01583333333333333,0.05,0.02123664787342802,0.019346977943739834,0.11902380714238082
rbf,1,0.1,,False,0.15,0.9817460317460318,0.0,0.38333333333333325,0.012573793268059406,0.0,0.2640496586292476
rbf,1,0.1,,True,0.2,0.9817460317460318,0.0,0.3833333333333333,0.013538668340660299,0.0,0.2843120351538663
rbf,1,0.1,balanced,True,0.2,0.9817460317460318,0.0,0.3833333333333333,0.013538668340660299,0.0,0.2843120351538663
rbf,10,0.1,,True,0.2,0.9817460317460318,0.0,0.3833333333333333,0.013538668340660299,0.0,0.2843120351538663
rbf,10,0.1,balanced,True,0.2,0.9817460317460318,0.0,0.3833333333333333,0.013538668340660299,0.0,0.2843120351538663
rbf,100,0.1,,True,0.2,0.9817460317460318,0.0,0.3833333333333333,0.013538668340660299,0.0,0.2843120351538663
rbf,100,0.1,balanced,True,0.2,0.9817460317460318,0.0,0.3833333333333333,0.013538668340660299,0.0,0.2843120351538663
rbf,10,scale,,True,0.3,0.9817460317460318,0.009999999999999998,0.18333333333333332,0.014439210633857337,0.015275252316519468,0.22298480267099421
rbf,10,scale,balanced,True,0.3,0.9817460317460318,0.009999999999999998,0.18333333333333332,0.014439210633857337,0.015275252316519468,0.22298480267099421
rbf,100,scale,,True,0.3,0.9817460317460318,0.009999999999999998,0.18333333333333332,0.014439210633857337,0.015275252316519468,0.22298480267099421
rbf,100,scale,balanced,True,0.3,0.9817460317460318,0.009999999999999998,0.18333333333333332,0.014439210633857337,0.015275252316519468,0.22298480267099421
rbf,1,0.1,,False,0.2,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,1,0.1,,False,0.3,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,1,0.1,balanced,False,0.15,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,1,0.1,balanced,False,0.2,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,10,0.1,,False,0.15,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,10,0.1,,False,0.2,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,10,0.1,balanced,False,0.15,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,10,0.1,balanced,False,0.2,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,100,0.1,,False,0.15,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,100,0.1,,False,0.2,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,100,0.1,balanced,False,0.15,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,100,0.1,balanced,False,0.2,0.980952380952381,0.0,0.39999999999999997,0.012895299054977709,0.0,0.27080128015453203
rbf,1,0.1,balanced,False,0.3,0.9801587301587302,0.0,0.41666666666666663,0.014085904245475277,0.0,0.2958039891549808
rbf,10,0.1,,False,0.3,0.9801587301587302,0.0,0.41666666666666663,0.014085904245475277,0.0,0.2958039891549808
rbf,10,0.1,balanced,False,0.3,0.9801587301587302,0.0,0.41666666666666663,0.014085904245475277,0.0,0.2958039891549808
rbf,100,0.1,,False,0.3,0.9801587301587302,0.0,0.41666666666666663,0.014085904245475277,0.0,0.2958039891549808
rbf,100,0.1,balanced,False,0.3,0.9801587301587302,0.0,0.41666666666666663,0.014085904245475277,0.0,0.2958039891549808
